DATE,VALUE
1961,31.6
1962,30.2
1963,29.8
1964,29.4
1965,29.7
1966,30.7
1967,32.3
1968,33.1
1969,32.5
1970,33.6
1971,33.6
1972,34.4
1973,36.3
1974,35.7
1975,36.8
1976,32.4
1977,32.6
1978,32.3
1979,32.5
1980,32.3
1981,37.6
1982,37.7
1983,37.8
1984,37.9
1985,37
1986,36
1987,34.6
1988,36
1989,35.9
1990,35.4
1991,34.9
1992,34.3
1993,33.7
1994,33.1
1995,32.5
1996,31.9
1997,30.9
1998,30.5
1999,29.9
2000,30.1
2001,30.2
2002,30.1
2003,30.1
2004,29.8
2005,29.8
2006,29.2
2007,29.1
2008,28.8
2009,29.4
2010,29.3
2011,28.8
2012,29
2013,28.9
2014,28.1
2015,28.3
2016,28.1
2017,28
2018,27.7
2019,27.9
2020,29.1
2021,28.8
2022,28.1
2023,28.3
1997,39
1998,38.4
1999,38.4
2000,38
2001,38.6
2002,37.7
2003,37.7
2004,37.3
2005,35.9
2006,35.4
2007,35.1
2008,35.7
2009,37.3
2010,36.7
2011,36.4
2012,35.9
2013,37.7
2014,35.5
2015,34.8
2016,36.1
2017,35.8
2018,35.5
2019,35.4
2020,36.8
2021,37.9
2022,37.9
2023,37.7
1997,27.2
1998,27.2
1999,28
2000,28.2
2001,28
2002,29
2003,28.6
2004,30.9
2005,30.6
2006,27.8
2007,27.6
2008,29.1
2009,30.1
2010,29.9
2011,28.9
2012,30.7
2013,32
2014,30.8
2015,31.6
2016,30
2017,29.4
2018,29.6
2019,29
2020,31.3
2021,31
2022,31.6
2023,31.9
1997,28.4
1998,29.3
1999,29
2000,29.1
2001,28.2
2002,27.1
2003,27.1
2004,27.5
2005,28.1
2006,26.8
2007,28.1
2008,27.9
2009,29.2
2010,28.4
2011,28.8
2012,27.6
2013,28.1
2014,28.9
2015,28.2
2016,29.3
2017,28.5
2018,28.1
2019,28.6
2020,29.1
2021,28.3
2022,28.9
2023,27.8
1997,27.8
1998,27.5
1999,26.3
2000,27.9
2001,27.4
2002,26.7
2003,26.3
2004,26.9
2005,26.6
2006,25.9
2007,26.2
2008,27.4
2009,27.3
2010,28
2011,27.3
2012,28.2
2013,27.6
2014,27.4
2015,28.1
2016,26.6
2017,27
2018,27.6
2019,26.7
2020,27.3
2021,28.4
2022,29
2023,28.1
1997,36.9
1998,35.6
1999,35.6
2000,36.3
2001,37
2002,36.8
2003,37.4
2004,36.7
2005,36.7
2006,36.4
2007,35.5
2008,35.5
2009,36.4
2010,36
2011,35.5
2012,36
2013,35.9
2014,35.1
2015,35.4
2016,35.2
2017,35
2018,34.7
2019,35.6
2020,36.6
2021,36.9
2022,35.2
2023,35.3
1997,27.7
1998,27.8
1999,26.4
2000,26.6
2001,26.3
2002,26.5
2003,26.6
2004,26.3
2005,26.9
2006,26.4
2007,26.6
2008,26.1
2009,26.1
2010,26.1
2011,25.7
2012,26.1
2013,26
2014,25.2
2015,25.1
2016,24.9
2017,24.7
2018,24.3
2019,24.4
2020,25.5
2021,25
2022,24.6
2023,24.6
1997,35.3
1998,34
1999,35
2000,33.8
2001,35.4
2002,34.7
2003,34.9
2004,35
2005,34.6
2006,33.8
2007,34.3
2008,34.2
2009,34.2
2010,35.1
2011,34.2
2012,33.6
2013,33.7
2014,33.6
2015,33.4
2016,33
2017,32.7
2018,32.4
2019,32.6
2020,33.5
2021,31.9
2022,32.5
2023,32.2
1997,33.1
1998,33.3
1999,33
2000,33.3
2001,34.8
2002,34
2003,34
2004,34.1
2005,34.1
2006,34.2
2007,32.8
2008,33
2009,33.4
2010,33.2
2011,32.7
2012,32.4
2013,32.4
2014,31.3
2015,31.2
2016,30.8
2017,30.9
2018,31.5
2019,29.8
2020,32.6
2021,32.1
2022,32.1
2023,32
1997,22.5
1998,22.2
1999,22.5
2000,21.4
2001,22.4
2002,22.2
2003,22.3
2004,21.9
2005,21.6
2006,21.7
2007,21.6
2008,21.6
2009,22.9
2010,22.7
2011,21.9
2012,21.8
2013,21.4
2014,20.6
2015,21.5
2016,22.4
2017,22.7
2018,22.7
2019,22.6
2020,23.6
2021,24.1
2022,22.2
2023,23.5
1997,34.2
1998,34.5
1999,34.2
2000,34.3
2001,33.7
2002,33.4
2003,32.3
2004,32.1
2005,30.8
2006,29.9
2007,29.8
2008,29.2
2009,29.6
2010,29.6
2011,29.4
2012,29
2013,29.2
2014,28.4
2015,28.7
2016,27.3
2017,27.9
2018,27
2019,27.1
2020,28.7
2021,28
2022,28
2023,28.6
