DATE,VALUE
1961,21164
1962,22766
1963,24296
1964,26554
1965,29604
1966,33477
1967,37033
1968,40260
1969,45024
1970,48806
1971,53508
1972,60055
1973,69179
1974,82496
1975,96218
1976,111312
1977,123277
1978,134091
1979,150807
1980,170485
1981,196616
1982,209990
1983,220232
1984,237168
1985,255693
1986,272557
1987,296139
1988,324863
1989,350309
1990,369421
1991,380199
1992,389402
1993,396393
1994,407433
1995,420912
1996,431541
1997,455871
1998,480515
1999,506817
2000,551459
2001,574278
2002,596783
2003,620600
2004,656155
2005,692608
2006,737321
2007,782563
2008,818108
2009,810556
2010,835940
2011,881145
2012,921490
2013,959181
2014,996247
2015,1024743
2016,1024142
2017,1066523
2018,1122304
2019,1168596
2020,1155843
2021,1264002
2022,1380065
2023,1470746
