DATE,NGDPRXDCCAA
1961-01-01,376674.296875
1962-01-01,404653.09375
1963-01-01,426089.296875
1964-01-01,454449.890625
1965-01-01,483158.296875
1966-01-01,515818.296875
1967-01-01,531630.390625
1968-01-01,558255.890625
1969-01-01,586542.890625
1970-01-01,603662.296875
1971-01-01,627922.59375
1972-01-01,662581.796875
1973-01-01,707164.59375
1974-01-01,730909.59375
1975-01-01,742205.09375
1976-01-01,785915.59375
1977-01-01,813696.390625
1978-01-01,844095.796875
1979-01-01,875540.09375
1980-01-01,894602.390625
1981-01-01,925153.6875
1982-01-01,895861.890625
1983-01-01,918816.1875
1984-01-01,973013.09375
1985-01-01,1019111.296875
1986-01-01,1040731.59375
1987-01-01,1083110.3125
1988-01-01,1130884.625
1989-01-01,1157317.125
1990-01-01,1159665.9375
1991-01-01,1135416.5
1992-01-01,1145527.125
1993-01-01,1175971.8125
1994-01-01,1228820.625
1995-01-01,1261781.625
1996-01-01,1283092.625
1997-01-01,1338011.125
1998-01-01,1390098.3125
1999-01-01,1461563.3125
2000-01-01,1536666.3125
2001-01-01,1565480.3125
2002-01-01,1612433.125
2003-01-01,1641559.8125
2004-01-01,1692322.8125
2005-01-01,1746654.125
2006-01-01,1792729.8125
2007-01-01,1829479.25
2008-01-01,1847689.9375
2009-01-01,1793828.25
2010-01-01,1849271.8125
2011-01-01,1907287.125
2012-01-01,1940772.625
2013-01-01,1985911.3125
2014-01-01,2042975.9375
2015-01-01,2056254.5
2016-01-01,2077609.8125
2017-01-01,2140641.125
2018-01-01,2199358.125
2019-01-01,2241331.3125
2020-01-01,2128407.8125
2021-01-01,2240935.9375
2022-01-01,2326536.75
2023-01-01,2355593.3125
