DATE,LRUNTTTTCAA156S
1961-01-01,7.183333
1962-01-01,5.958333
1963-01-01,5.583333
1964-01-01,4.708333
1965-01-01,3.95
1966-01-01,3.375
1967-01-01,3.833333
1968-01-01,4.525
1969-01-01,4.425
1970-01-01,5.675
1971-01-01,6.2
1972-01-01,6.233333
1973-01-01,5.566667
1974-01-01,5.333333
1975-01-01,6.916667
1976-01-01,7.083333
1977-01-01,8.058333
1978-01-01,8.383333
1979-01-01,7.55
1980-01-01,7.55
1981-01-01,7.633333
1982-01-01,11.03333
1983-01-01,12.03333
1984-01-01,11.35
1985-01-01,10.51667
1986-01-01,9.6
1987-01-01,8.833333
1988-01-01,7.766667
1989-01-01,7.566667
1990-01-01,8.15
1991-01-01,10.325
1992-01-01,11.19167
1993-01-01,11.4
1994-01-01,10.41667
1995-01-01,9.508333
1996-01-01,9.608334
1997-01-01,9.116667
1998-01-01,8.283334
1999-01-01,7.591667
2000-01-01,6.816667
2001-01-01,7.216667
2002-01-01,7.675
2003-01-01,7.575
2004-01-01,7.191667
2005-01-01,6.758333
2006-01-01,6.466667
2007-01-01,6.166667
2008-01-01,6.291667
2009-01-01,8.45
2010-01-01,8.175
2011-01-01,7.633333
2012-01-01,7.4
2013-01-01,7.15
2014-01-01,7.033333
2015-01-01,6.941667
2016-01-01,7.025
2017-01-01,6.425
2018-01-01,5.841667
2019-01-01,5.691667
2020-01-01,9.691667
2021-01-01,7.541667
2022-01-01,5.3
2023-01-01,5.425
