"Part Id","Description","Supplier","Tracked","Collection","Warranty","Updated At"
"*11111","testing","EcoTank Slovakia","true","flowmeters","true","2024-07-23"
"111109","Display plexi cover od control unit","EcoTank Slovakia","false","","","2024-02-13"
"111501","Tank - stainless steel V4 (two wall)","EcoTank Slovakia","false","","","2024-02-13"
"111885","Middle curved casing - painted","EcoTank Slovakia","false","","","2024-02-13"
"112195","Floater switch","EcoTank Slovakia","false","","true","2024-02-13"
"114546","Stop vent","EcoTank Slovakia","false","","true","2024-02-13"
"114589","Distribution hose - plastic - diameter 12/16 ; price for 1m","EcoTank Slovakia","false","","","2024-02-13"
"114590","Distribution hose - plastic - diameter 16/20 ; price for 1m","EcoTank Slovakia","false","","","2024-02-13"
"114598","Hose connector 13mm with disguised female screw G1/2","EcoTank Slovakia","false","","","2024-02-13"
"114600","Hose extension 19mm 6HR - internal twist G3/4","EcoTank Slovakia","false","","","2024-02-13"
"114626","Reduction T connector for plastic hoses Normplast TRS 18-15-18","EcoTank Slovakia","false","","","2024-02-13"
"114627","T connector for plastic hoses Normplast TS 13","EcoTank Slovakia","false","","","2024-02-13"
"114630","Door lock","EcoTank Slovakia","false","","","2024-02-13"
"114635","Middle door - painted","EcoTank Slovakia","false","","","2024-02-13"
"114644","Induction sensor for Nozzle holder","EcoTank Slovakia","false","","true","2024-02-13"
"115555","Bottom curved casing of base - painted","EcoTank Slovakia","false","","","2024-02-13"
"116123","Service unit connector","EcoTank Slovakia","false","","","2024-02-13"
"117061","Bottom door of base without service door - painted","EcoTank Slovakia","false","","","2024-02-13"
"117978","Bottom door of base with service door - painted","EcoTank Slovakia","false","","","2024-02-13"
"117997","Filling ending - Geka Ideal - insertion with inside twist","EcoTank Slovakia","false","","","2024-02-13"
"117998","Elbow 45degr_ G3/4","EcoTank Slovakia","false","","","2024-02-13"
"117999","Ball vent G3/4 Din 20, with inside-outside twist, bow-knot","EcoTank Slovakia","false","","","2024-02-13"
"118006","String wire buckle W1 - D18 for plastic hoses","EcoTank Slovakia","false","","","2024-02-13"
"118007","String wire buckle W1 - D24 for plastic hoses","EcoTank Slovakia","false","","","2024-02-13"
"118298","Power supply 230VAC/24VDC","EcoTank Slovakia","false","","true","2024-02-13"
"118301","Pump WPDC 10,5l-5_0M-24-VP","EcoTank Slovakia","false","","true","2024-02-13"
"118302","Electromagnetic vent EVPE 4110_22","EcoTank Slovakia","false","","true","2024-02-13"
"118303","Nozzle","EcoTank Slovakia","false","","","2024-02-13"
"118304","Electronic calculator ADP1/L","EcoTank Slovakia","false","","true","2024-02-13"
"118305","Flowmeter EcoTank SuperFlow32D","EcoTank Slovakia","true","flowmeters","true","2024-02-13"
"118349","Switch box (without accessories)","EcoTank Slovakia","false","","","2024-02-13"
"118550","Level sensor TSZ","EcoTank Slovakia","false","","true","2024-02-13"
"118936","Backflow valve 3/4 - brass","EcoTank Slovakia","false","","true","2024-02-13"
"119171","Plastic Nozzle holder - black","EcoTank Slovakia","false","","","2024-02-13"
"119329","Tank - stainless steel V3 (one wall)","EcoTank Slovakia","false","","","2024-02-13"
"120104","Ball vent G3/4 Din 20, with outside-inside twist, bow-knot","EcoTank Slovakia","false","","","2024-02-13"
"120215","Spiral hose - antistatic 3,8m","EcoTank Slovakia","false","","","2024-02-13"
"120312","Residual current-operated protective device B 6A/0,30mA","EcoTank Slovakia","false","","true","2024-02-13"
"121827","String wire buckle W1 - D14 for plastic hoses - flow-off","EcoTank Slovakia","false","","","2024-02-13"
"122526","Communication module SM1908 for level sensors","EcoTank Slovakia","false","","true","2024-02-13"
"123426","Seal with filter 3/4 - rubber","EcoTank Slovakia","false","","true","2024-02-13"
"5","asdfsdf","EcoTank Slovakia","true","flowmeters","true","2024-07-23"
"6500","AMP POS Device","Advanced Mobile Payments","true","amps","true","2024-02-13"
"6500-Atex","AMP POS Device - Atex","Advanced Mobile Payments","true","amps","true","2024-02-13"
"911111","test","EcoTank Slovakia","true","flowmeters","true","2024-07-23"
"TD-200","TD-200 Mopeka Monitoring Device","Mopeka","true","mopekas","true","2024-02-13"
"TD-40","TD-40 Mopeka Monitoring Device","Mopeka","true","mopekas","true","2024-02-13"
"V3_1A","Single wall air tank","EcoTank Slovakia","true","dispensers","","2024-02-13"
"V3_1D","Single wall double tank","EcoTank Slovakia","true","dispensers","","2024-02-13"
"V3_1R","Single wall single tank right","EcoTank Slovakia","true","dispensers","","2024-02-13"
"V4_1D","Double wall double tank","EcoTank Slovakia","true","dispensers","","2024-02-13"
