DATE,VALUE
1961,31.6
1962,30.2
1963,29.8
1964,29.4
1965,29.7
1966,30.7
1967,32.3
1968,33.1
1969,32.5
1970,33.6
1971,33.6
1972,34.4
1973,36.3
1974,35.7
1975,36.8
1976,32.4
1977,32.6
1978,32.3
1979,32.5
1980,32.3
1981,37.6
1982,37.7
1983,37.8
1984,37.9
1985,37
1986,36
1987,34.6
1988,36
1989,35.9
1990,35.4
1991,34.9
1992,34.3
1993,33.7
1994,33.1
1995,32.5
1996,31.9
1997,30.9
1998,30.5
1999,29.9
2000,30.1
2001,30.2
2002,30.1
2003,30.1
2004,29.8
2005,29.8
2006,29.2
2007,29.1
2008,28.8
2009,29.4
2010,29.3
2011,28.8
2012,29
2013,28.9
2014,28.1
2015,28.3
2016,28.1
2017,28
2018,27.7
2019,27.9
2020,29.1
2021,28.8
2022,28.1
2023,28.3
