DATE,CPALTT01CAM659N
1915-01-01,1.666667
1915-02-01,1.666667
1915-03-01,1.666667
1915-04-01,1.666667
1915-05-01,3.3898309999999996
1915-06-01,1.666667
1915-07-01,3.3898309999999996
1915-08-01,1.666667
1915-09-01,1.666667
1915-10-01,0.0
1915-11-01,3.278688
1915-12-01,3.278688
1916-01-01,4.918033
1916-02-01,6.557377000000001
1916-03-01,6.557377000000001
1916-04-01,6.557377000000001
1916-05-01,6.557377000000001
1916-06-01,8.196721
1916-07-01,8.196721
1916-08-01,8.196721
1916-09-01,11.47541
1916-10-01,13.11475
1916-11-01,12.69841
1916-12-01,14.28571
1917-01-01,15.625
1917-02-01,13.84615
1917-03-01,16.92308
1917-04-01,16.92308
1917-05-01,21.53846
1917-06-01,21.212120000000002
1917-07-01,21.212120000000002
1917-08-01,21.212120000000002
1917-09-01,17.64706
1917-10-01,18.84058
1917-11-01,15.49296
1917-12-01,15.277779999999998
1918-01-01,13.51351
1918-02-01,14.864870000000002
1918-03-01,13.1579
1918-04-01,13.1579
1918-05-01,10.12658
1918-06-01,10.0
1918-07-01,11.25
1918-08-01,15.0
1918-09-01,15.0
1918-10-01,13.414629999999999
1918-11-01,14.63415
1918-12-01,13.25301
1919-01-01,13.095239999999999
1919-02-01,10.588230000000001
1919-03-01,9.302325
1919-04-01,9.302325
1919-05-01,11.49425
1919-06-01,10.227269999999999
1919-07-01,10.11236
1919-08-01,8.695652
1919-09-01,8.695652
1919-10-01,7.5268820000000005
1919-11-01,7.446808
1919-12-01,8.510638
1920-01-01,11.57895
1920-02-01,14.89362
1920-03-01,19.14894
1920-04-01,20.212770000000003
1920-05-01,19.587629999999997
1920-06-01,21.64948
1920-07-01,20.408160000000002
1920-08-01,17.0
1920-09-01,15.0
1920-10-01,15.0
1920-11-01,11.88119
1920-12-01,9.803922
1921-01-01,3.7735849999999997
1921-02-01,0.0
1921-03-01,-6.25
1921-04-01,-9.734513
1921-05-01,-13.7931
1921-06-01,-17.79661
1921-07-01,-17.79661
1921-08-01,-17.09402
1921-09-01,-15.652170000000002
1921-10-01,-15.652170000000002
1921-11-01,-16.81416
1921-12-01,-16.07143
1922-01-01,-14.54545
1922-02-01,-13.88889
1922-03-01,-12.38095
1922-04-01,-9.803922
1922-05-01,-9.0
1922-06-01,-6.185567
1922-07-01,-6.185567
1922-08-01,-5.1546389999999995
1922-09-01,-5.1546389999999995
1922-10-01,-5.1546389999999995
1922-11-01,-2.1276599999999997
1922-12-01,-2.1276599999999997
1923-01-01,-2.1276599999999997
1923-02-01,-1.075269
1923-03-01,1.086957
1923-04-01,0.0
1923-05-01,1.0989010000000001
1923-06-01,1.0989010000000001
1923-07-01,0.0
1923-08-01,0.0
1923-09-01,0.0
1923-10-01,0.0
1923-11-01,0.0
1923-12-01,0.0
1924-01-01,0.0
1924-02-01,0.0
1924-03-01,-1.075269
1924-04-01,-2.173913
1924-05-01,-3.26087
1924-06-01,-4.347826
1924-07-01,-3.296703
1924-08-01,-2.173913
1924-09-01,-2.173913
1924-10-01,-2.173913
1924-11-01,-1.086957
1924-12-01,-1.086957
1925-01-01,0.0
1925-02-01,0.0
1925-03-01,0.0
1925-04-01,1.111111
1925-05-01,1.1235950000000001
1925-06-01,2.272727
1925-07-01,2.272727
1925-08-01,1.111111
1925-09-01,1.111111
1925-10-01,2.222222
1925-11-01,1.0989010000000001
1925-12-01,2.1978020000000003
1926-01-01,0.0
1926-02-01,0.0
1926-03-01,0.0
1926-04-01,1.0989010000000001
1926-05-01,2.222222
1926-06-01,2.222222
1926-07-01,2.222222
1926-08-01,1.0989010000000001
1926-09-01,1.0989010000000001
1926-10-01,0.0
1926-11-01,0.0
1926-12-01,-1.075269
1927-01-01,0.0
1927-02-01,0.0
1927-03-01,-1.086957
1927-04-01,-2.173913
1927-05-01,-2.173913
1927-06-01,-2.173913
1927-07-01,-1.086957
1927-08-01,-2.173913
1927-09-01,-2.173913
1927-10-01,-2.173913
1927-11-01,-1.086957
1927-12-01,-1.086957
1928-01-01,0.0
1928-02-01,0.0
1928-03-01,0.0
