DATE,VALUE
1961,17.8
1962,18.3
1963,19.7
1964,21.9
1965,20
1966,18.5
1967,20.6
1968,23.5
1969,23.6
1970,24.7
1971,23.9
1972,22.2
1973,25.8
1974,21
1975,29.9
1976,26.7
1977,24.6
1978,25.4
1979,28.5
1980,28.4
1981,32
1982,36.3
1983,36.1
1984,32.4
1985,34.7
1986,34.6
1987,32.9
1988,38.6
1989,34.1
1990,37.9
1991,36.3
1992,40.2
1993,44.5
1994,40.7
1995,36.3
1996,40.7
1997,43.6
1998,35.6
1999,40.7
2000,39.6
2001,35.9
2002,39.9
2003,39.4
2004,41.5
2005,36.4
2006,50.3
2007,40
2008,45.4
2009,60.8
2010,51.7
2011,49.2
2012,23.9
2013,86
2014,97.7
2015,64.6
2016,35.7
2017,72.4
2018,52.9
2019,33.2
2020,44.5
2021,23.4
2022,57.6
2023,24.5
2024,5
