DATE,VALUE
1961,1335080
1962,1417360
1963,916990
1964,1580090
1965,2301090
1966,5180030
1967,3975790
1968,5077610
1969,7732590
1970,6539500
1971,2854480
1972,7716290
1973,5761150
1974,9222250
1975,10877290
1976,11544170
1977,3320050
1978,7357180
1979,7819350
1980,9129880
1981,8850040
1982,5702370
1983,4440890
1984,3883390
1985,3125560
1986,7151470
1987,3808030
1988,4901260
1989,3701360
1990,5079190
1991,2516090
1992,2110180
1993,1516640
1994,1606580
1995,1583070
1996,3269060
1997,3609460
1998,2440270
1999,2434050
2000,1644100
2001,2202740
2002,2985940
2003,1730492
2004,3185165
2005,4147580
2006,792923
2007,1770707
2008,875440
2009,2162500
2010,1202483
2011,1350596
2012,904017
2013,1498950
2014,1711330
2015,1845503
2016,631880
2017,1200700
2018,1133724
2019,1212938
2020,1451556
2021,1323637
2022,1896262
2023,6584618
